EmployeeId,NationalIDNumber,ContactID,LoginID,ManagerID,Title,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
270,56920285,1004,adventure-works\sharon0,3,Design Engineer,1951-06-03T00:00:00,M,F,2001-02-18T00:00:00,1,4,22,1,2004-07-31 00:00:00.000000 UTC
158,134969118,1049,adventure-works\dylan0,3,Research and Development Manager,1977-03-27T00:00:00,M,M,1999-03-12T00:00:00,1,61,50,1,2004-07-31 00:00:00.000000 UTC
11,998320692,1006,adventure-works\jossef0,3,Design Engineer,1949-04-11T00:00:00,M,M,1998-02-24T00:00:00,1,6,23,1,2004-07-31 00:00:00.000000 UTC
9,695256908,1005,adventure-works\gail0,3,Design Engineer,1942-10-29T00:00:00,M,F,1998-02-06T00:00:00,1,5,22,1,2004-07-31 00:00:00.000000 UTC
203,243322160,1032,adventure-works\terry0,6,Marketing Specialist,1976-03-07T00:00:00,M,M,1999-04-03T00:00:00,0,44,42,1,2004-07-31 00:00:00.000000 UTC
106,767955365,1034,adventure-works\mary0,6,Marketing Specialist,1952-10-14T00:00:00,M,F,1999-02-13T00:00:00,0,46,43,1,2004-07-31 00:00:00.000000 UTC
269,323403273,1029,adventure-works\wanida0,6,Marketing Assistant,1965-04-17T00:00:00,M,F,2001-02-07T00:00:00,0,41,40,1,2004-07-31 00:00:00.000000 UTC
119,72636981,1035,adventure-works\jill0,6,Marketing Specialist,1969-07-19T00:00:00,M,F,1999-02-19T00:00:00,0,47,43,1,2004-07-31 00:00:00.000000 UTC
194,500412746,1225,adventure-works\thomas0,7,Production Technician - WC60,1976-02-11T00:00:00,M,M,1999-03-30T00:00:00,0,37,38,1,2004-07-31 00:00:00.000000 UTC
84,693325305,1222,adventure-works\nancy0,7,Production Technician - WC60,1978-12-21T00:00:00,M,F,1999-02-03T00:00:00,0,34,37,1,2004-07-31 00:00:00.000000 UTC
76,339712426,1227,adventure-works\james0,7,Production Technician - WC60,1974-08-26T00:00:00,M,M,1999-01-28T00:00:00,0,39,39,1,2004-07-31 00:00:00.000000 UTC
5,480168528,1009,adventure-works\thierry0,263,Tool Designer,1949-08-29T00:00:00,M,M,1998-01-11T00:00:00,0,9,24,1,2004-07-31 00:00:00.000000 UTC
265,486228782,1008,adventure-works\janice0,263,Tool Designer,1979-06-29T00:00:00,M,F,2001-01-23T00:00:00,0,8,24,1,2004-07-31 00:00:00.000000 UTC
3,509647174,1002,adventure-works\roberto0,12,Engineering Manager,1964-12-13T00:00:00,M,M,1997-12-12T00:00:00,1,2,21,1,2004-07-31 00:00:00.000000 UTC
278,234474252,1021,adventure-works\garrett1,268,Sales Representative,1965-03-07T00:00:00,M,M,2001-07-01T00:00:00,1,33,36,1,2004-07-31 00:00:00.000000 UTC
276,191644724,1018,adventure-works\linda3,268,Sales Representative,1970-03-30T00:00:00,M,F,2001-07-01T00:00:00,1,27,33,1,2004-07-31 00:00:00.000000 UTC
279,716374314,1019,adventure-works\tsvi0,268,Sales Representative,1964-02-19T00:00:00,M,M,2001-07-01T00:00:00,1,29,34,1,2004-07-31 00:00:00.000000 UTC
282,399771412,1020,adventure-works\josé1,268,Sales Representative,1954-01-11T00:00:00,M,M,2001-07-01T00:00:00,1,31,35,1,2004-07-31 00:00:00.000000 UTC
287,90836195,1027,adventure-works\tete0,268,Sales Representative,1968-02-06T00:00:00,M,M,2002-11-01T00:00:00,1,39,39,1,2004-07-31 00:00:00.000000 UTC
281,139397894,1017,adventure-works\shu0,268,Sales Representative,1958-04-10T00:00:00,M,M,2001-07-01T00:00:00,1,26,33,1,2004-07-31 00:00:00.000000 UTC
29,571658797,1199,adventure-works\kendall0,14,Production Technician - WC50,1976-06-30T00:00:00,M,M,1999-01-06T00:00:00,0,11,25,1,2004-07-31 00:00:00.000000 UTC
